fault,TP,FN,TPR
F1L,12,1227,0.009685230024213076
F2L,410,960,0.29927007299270075
F3L,895,88,0.9104781281790437
F4L,449,940,0.3232541396688265
F5L,1302,77,0.9441624365482234
F6L,291,1098,0.20950323974082075
F7L,117,1272,0.08423326133909287
