epoch,train_loss,val_loss
1,0.06970173666874567,0.04783003181219101
2,0.04775465841715534,0.04765038937330246
3,0.04765710048377514,0.047596305360396704
4,0.04761696495115757,0.04758655900756518
5,0.04760070005431771,0.047555233786503476
6,0.04760088054463267,0.04758666257063548
7,0.04758704820026954,0.047553794582684834
8,0.04757636291906238,0.047561527043581006
9,0.047573117353022096,0.04755513841907184
10,0.047575359077503286,0.04754833579063415
11,0.047570786376794176,0.0475396806995074
12,0.04757450576871634,0.04754026855031649
13,0.04757065735757351,0.047542301813761394
14,0.047571288080265124,0.04754039496183395
15,0.04757004532342156,0.04753419930736224
16,0.047567660268396136,0.04755326310793559
17,0.04757358379041155,0.04753969510396321
18,0.04756282639379303,0.047543465097745256
19,0.04756477465853095,0.04754069298505783
20,0.047570472303777936,0.04756756375233332
21,0.04756849423671762,0.04752736488978068
22,0.047565129088858765,0.04754051317771276
23,0.04756477841486533,0.04752589041988055
24,0.047574245277792214,0.04753600309292475
25,0.04756331630051136,0.04752998848756154
26,0.047563752811402085,0.04752686346570651
27,0.04756238150099913,0.04756053487459819
28,0.04756582162032525,0.047533070544401805
29,0.047562092325339714,0.047526682168245314
30,0.04756140230844418,0.0475356141726176
31,0.04756149658933282,0.047530364245176315
32,0.04756240596373876,0.04753420030077298
33,0.04758298260470231,0.04752853934963544
34,0.0475716607645154,0.047534555693467456
35,0.04757179714118441,0.04752926876147588
36,0.047562349463502566,0.04752568925420443
37,0.047566232457757,0.04753295108675957
38,0.047565162926912305,0.0475355938076973
39,0.04757139130185048,0.04753055249651273
40,0.047562868303308886,0.047531526039044064
41,0.0475610489025712,0.047527712086836496
42,0.04756553911914428,0.04753399839003881
43,0.04756463579833507,0.047535379976034166
44,0.04756018752232194,0.04753638704617818
45,0.047563846005747715,0.047530140231053036
46,0.047561446049561105,0.047533884396155676
47,0.047562505087504786,0.04752724841237068
48,0.04756799470633268,0.04753000661730766
49,0.047562004532665014,0.047532506038745245
50,0.04756368898476163,0.04753341053922971
51,0.047562964850415786,0.04754290729761124
52,0.047569001217683156,0.047528463105360665
53,0.04756229827180505,0.047526724884907404
54,0.04759797348330418,0.04752821077903112
55,0.04757173964753747,0.04754765356580416
56,0.047560333646833895,0.047538532068332036
