epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1_macro,sec
1,0.0003,2.068284014860789,0.217298830202056,2.0464280247688293,0.4106382978723404,0.28729206861135903,0.8187415599822998
2,0.0003,2.022124151388804,0.3548387096774194,1.9790962040424347,0.5946808510638298,0.5814829313226694,0.4256777763366699
3,0.0003,1.8689588407675426,0.466855724920241,1.817650467157364,0.5531914893617021,0.5769136972641016,0.4368295669555664
4,0.0003,1.730340152978897,0.46012052463665365,1.636309564113617,0.41382978723404257,0.4507596394435946,0.44437193870544434
5,0.0003,1.5208892524242401,0.4140375753278979,1.45172718167305,0.48829787234042554,0.5894669730291144,0.44650983810424805
6,0.0003,1.2545641014973323,0.4845799361928394,1.29381862282753,0.5521276595744681,0.650165151823821,0.4527473449707031
7,0.0003,1.2015039920806885,0.48954271534916693,1.1722579896450043,0.45851063829787236,0.5603527046783625,0.4421968460083008
8,0.0003,1.0741428782542546,0.5093938319744772,0.9894750267267227,0.45,0.5496765703095905,0.44414639472961426
9,0.0003,0.8582300593455633,0.5661113080467919,0.7335097789764404,0.5904255319148937,0.6751064513300701,0.4313051700592041
10,0.0003,0.614190585911274,0.684509039347749,0.5379654616117477,0.7968085106382978,0.8731152963328626,0.4417445659637451
11,0.0003,0.4616771886746089,0.7741935483870968,0.4410087540745735,0.824468085106383,0.8559468523461744,0.4478728771209717
12,0.0003,0.42482905586560565,0.8333924140375754,0.35334011912345886,0.8702127659574468,0.8935086634386717,0.43781590461730957
13,0.0003,0.36347006261348724,0.8408365827720666,0.2888760417699814,0.8840425531914894,0.9164502375786812,0.4461803436279297
14,0.0003,0.27881308520833653,0.8422545196738745,0.25368205457925797,0.8819148936170212,0.9174393294702115,0.4473276138305664
15,0.0003,0.23871113235751787,0.8496986884083658,0.22169122844934464,0.9329787234042554,0.9420548121929238,0.4434494972229004
16,0.0003,0.21955394123991331,0.880184331797235,0.2238553687930107,0.8819148936170212,0.915853154145776,0.4627408981323242
17,0.0003,0.20162545144557953,0.8674228996809642,0.20323866233229637,0.825531914893617,0.891580631598701,0.4507129192352295
18,0.0003,0.21670780330896378,0.8684863523573201,0.24876559525728226,0.8457446808510638,0.8943830396890355,0.44150781631469727
19,0.0003,0.21894855797290802,0.8546614675646934,0.18296687304973602,0.8351063829787234,0.8988119654430358,0.4249579906463623
20,0.0003,0.20071454470356306,0.8954271534916696,0.17596526071429253,0.85,0.9063744937797281,0.4407966136932373
21,0.0003,0.17296401659647623,0.8762850053172634,0.15034879371523857,0.9095744680851063,0.9374967290942395,0.4439702033996582
22,0.0003,0.15120119353135428,0.924140375753279,0.17079612985253334,0.9031914893617021,0.9339814744270332,0.44834470748901367
23,0.0003,0.14627381600439548,0.9205955334987593,0.12509295716881752,0.9085106382978724,0.9419359602734246,0.442058801651001
24,0.0003,0.17766957295437655,0.9301666075859625,0.1575021632015705,0.8702127659574468,0.9162847884438794,0.4397573471069336
25,0.0003,0.1394251435995102,0.9138603332151719,0.1194370910525322,0.9606382978723405,0.9688531481304454,0.4460930824279785
26,0.0003,0.11185056359196703,0.9535625664657923,0.11766483634710312,0.9106382978723404,0.9438515406162464,0.44384765625
27,0.0003,0.10514967826505502,0.9493087557603687,0.11518911458551884,0.9553191489361702,0.9639622745357047,0.4425053596496582
28,0.0003,0.11171564149359862,0.945763913505849,0.1428407672792673,0.951063829787234,0.9589105235318037,0.44347071647644043
29,0.0003,0.14221747840444246,0.9408011343495214,0.08646674454212189,0.9478723404255319,0.9663965294193347,0.4460322856903076
30,0.0003,0.07751541770994663,0.9631336405529954,0.11490273475646973,0.9638297872340426,0.9699989210232053,0.4444286823272705
31,0.0003,0.08925747219473124,0.9588798298475718,0.0710331629961729,0.9851063829787234,0.9885771575579385,0.44490647315979004
32,0.0003,0.06131870982547601,0.978021978021978,0.05129331536591053,0.9893617021276596,0.9916688713749954,0.44492578506469727
33,0.0003,0.057851447723805904,0.9826302729528535,0.035477233584970236,0.9925531914893617,0.9941617383219997,0.44948768615722656
34,0.0003,0.08311074304704864,0.9872385678837292,0.09306012094020844,0.9276595744680851,0.9548730474341667,0.43884968757629395
