fault,TP,FN,TPR
F1L,369,0,1.0
F2L,519,0,1.0
F3L,133,0,1.0
F4L,539,0,1.0
F5L,679,0,1.0
F6L,347,192,0.6437847866419295
F7L,453,86,0.8404452690166976
