fault,TP,FN,TPR
F1L,619,0,1.0
F2L,745,4,0.9946595460614153
F3L,363,0,1.0
F4L,763,6,0.9921976592977894
F5L,759,0,1.0
F6L,706,63,0.918075422626788
F7L,569,200,0.7399219765929779
