fault,TP,FN,TPR
F1L,28,341,0.07588075880758807
F2L,33,486,0.06358381502890173
F3L,16,117,0.12030075187969924
F4L,132,407,0.24489795918367346
F5L,394,285,0.5802650957290133
F6L,22,517,0.04081632653061224
F7L,49,490,0.09090909090909091
