epoch,train_loss
1,0.1650685994989342
2,0.06081265086929003
3,0.05834913895361953
4,0.058162014103598066
5,0.057907246260179415
6,0.057774450422988996
7,0.05790818254980776
8,0.057789893820881844
9,0.05754622258245945
10,0.05753915508588155
11,0.05763156505094634
12,0.057541299197408885
13,0.05740521537760893
14,0.05740032862457964
15,0.05745849841170841
16,0.057357179207934275
17,0.05723561015393999
18,0.0574179088903798
19,0.057379965773887105
20,0.05740836552447743
21,0.0573747545066807
22,0.057319755769438215
23,0.05737830574313799
24,0.057558579784300595
25,0.0573368062161737
26,0.05738968774676323
27,0.05739670888417297
28,0.05731247282690472
29,0.057268648925754756
30,0.05726083181798458
31,0.0572527673923307
32,0.057274567584196724
