epoch,train_loss
1,7340.012939453125
2,7294.411539713542
3,7292.765272352431
4,7292.410861545139
5,7291.979220920139
6,7292.306287977431
7,7292.381239149306
8,7292.016438802083
9,7291.886094835069
10,7291.949354383681
11,7292.700710720486
12,7292.060194227431
13,7292.108669704861
14,7292.120822482639
15,7292.277506510417
16,7291.849799262152
17,7290.916856553819
18,7292.080050998264
19,7292.777153862848
20,7292.585394965277
21,7292.633327907986
22,7292.19970703125
23,7290.791775173611
24,7289.447211371527
25,7286.888481987848
26,7286.760687934027
27,7283.913628472223
28,7281.112874348958
29,7279.433322482639
30,7278.548800998264
31,7278.298231336806
32,7278.091905381944
33,7278.350938585069
34,7278.116834852431
35,7277.786783854167
36,7277.264268663194
37,7275.908827039931
38,7275.518663194444
39,7275.084282769098
40,7275.188042534723
41,7274.977240668402
42,7274.980170355902
43,7274.785400390625
44,7274.8017578125
45,7274.785183376736
46,7275.076036241319
47,7275.146348741319
48,7275.103000217014
49,7275.07763671875
50,7274.736029730902
51,7274.911919487848
52,7274.861029730902
53,7274.897732204861
54,7274.441297743056
55,7274.646402994792
56,7274.700168185764
57,7274.918891059027
58,7274.300265842014
59,7274.966661241319
60,7274.631483289931
61,7274.755316840277
62,7272.980712890625
63,7272.100287543402
64,7272.254313151042
65,7272.248426649306
66,7272.050537109375
67,7272.018853081598
68,7271.986843532986
69,7272.249077690973
70,7271.742241753473
71,7271.821614583333
72,7271.782389322917
73,7271.859809027777
74,7271.634494357639
75,7271.938395182292
76,7271.725531684027
77,7271.485460069444
78,7271.692681206598
79,7271.695882161458
80,7271.864474826389
81,7271.621907552083
82,7271.584418402777
83,7271.851671006944
84,7271.907009548611
85,7271.781873914931
86,7272.009304470486
87,7271.615451388889
88,7271.466986762152
89,7271.786838107639
90,7271.882785373264
91,7271.825656467014
92,7271.970947265625
93,7271.729682074652
94,7271.766276041667
95,7271.709418402777
96,7271.868191189236
97,7271.816704644098
98,7272.274468315973
99,7272.569905598958
100,7271.754801432292
101,7271.848497178819
102,7271.808485243056
103,7271.488498263889
