epoch,train_loss,val_loss
1,0.0701446362460653,0.047781089693307875
2,0.047731363618125515,0.04763065800070763
3,0.04764607545609276,0.04758406654000282
4,0.047609561836967865,0.04758022998770078
5,0.047597915896524984,0.04756158664822578
6,0.04759804845477144,0.047553148368994394
7,0.047586688802887994,0.04754768783847491
8,0.04757842253893614,0.04754325697819392
9,0.0475916674050192,0.04758973444501559
10,0.04757417694975932,0.04753753940264384
11,0.04757152494663994,0.04753986075520515
12,0.047574612063666186,0.047537116209665935
13,0.047577765583992,0.04753616650899251
14,0.04757460669303934,0.04754277169704437
15,0.047569224641968805,0.047543349613746004
16,0.047574252169579265,0.04754804174105327
17,0.04756996016949415,0.04754689534505208
18,0.04756799734507998,0.04753360450267792
19,0.04757337030023336,0.04753474444150925
20,0.047566956964631875,0.047550922632217406
21,0.047571678180247545,0.0476038691898187
22,0.04757267832756042,0.047534522414207456
23,0.04756791287412246,0.04753103107213974
24,0.04756767417614659,0.04753434658050537
25,0.0475746085246404,0.04755633771419525
26,0.04757370144749681,0.047536126772562665
27,0.04756565528611342,0.04752782384554545
28,0.0475679460602502,0.04753222862879435
29,0.047562524272749825,0.04753524636228879
30,0.047567420670141775,0.04753671238819758
31,0.04756402727216482,0.04753057484825452
32,0.04756450454394023,0.04752743691205978
33,0.04756145427624384,0.04752666006485621
34,0.047563400802512965,0.047531594336032865
35,0.04756971746683121,0.04754182348648707
36,0.04756836096445719,0.04754365632931391
37,0.047567244588087004,0.04753855417172114
38,0.047566521416107815,0.04754048064351082
39,0.04756554566944639,0.047533736129601795
40,0.047569808177649976,0.04752986083428065
41,0.0475648798669378,0.04753439351916313
42,0.04756600959226489,0.04752829472223918
43,0.04756660150984923,0.047527597099542615
44,0.04756550481542945,0.04752890542149544
45,0.04756611927102009,0.047528758893410364
46,0.047567682123432556,0.047529881447553636
47,0.04756438055386146,0.04753563180565834
48,0.04756509115298589,0.0475337785979112
49,0.047564109601080415,0.04753155906995137
50,0.04757477783908447,0.04753262574474017
51,0.047561804701884584,0.04753135119875272
52,0.04756075786426663,0.047527303298314415
53,0.04756739505877097,0.0475432629386584
