epoch,train_loss,val_loss
1,0.07147113416964809,0.04787906855344772
2,0.047794277469317116,0.04767392476399739
3,0.04767580882956584,0.047625716278950375
4,0.0476322646252811,0.04757134839892387
5,0.04761510891839862,0.047571185727914175
6,0.0476043007026116,0.04756391073266665
7,0.0475903100023667,0.047544326384862265
8,0.04757934644197424,0.04755301227172216
9,0.04758093499888976,0.04754343529542287
10,0.04757686303928495,0.04754491423567136
11,0.047581440520783266,0.04756387496987979
12,0.04757717537383239,0.047535972048838936
13,0.04757758161673943,0.04754638150334358
14,0.047578011018534504,0.047557256867488226
15,0.04757373447840412,0.04755467797319094
16,0.04757260419428348,0.047533406565586724
17,0.04757028265545766,0.04753379076719284
18,0.0475695486801366,0.04754380683104197
19,0.047569103570034105,0.047528685381015144
20,0.0475657567071418,0.04753925253947576
21,0.04756614103292425,0.04753175651033719
22,0.04757303275788824,0.047537880639235176
23,0.047566088909904165,0.047536944846312205
24,0.04756780816242099,0.04754686827460925
25,0.04756386149674654,0.04753177215655645
26,0.047567462424437205,0.04755972822507223
27,0.047566241957247256,0.04753256340821584
28,0.04756967267021537,0.047527349243561424
29,0.047565774712711575,0.047526998569568
30,0.04756208825856447,0.047530314574639
31,0.04757270657767852,0.047536271562178926
32,0.047565254103392365,0.047549544771512346
33,0.04756411220878363,0.04753500521183014
34,0.04756436087191105,0.047537627071142195
35,0.047570920238892235,0.04752940187851588
36,0.04756838340933124,0.04754958500464757
37,0.04756552971278628,0.047541413952906925
38,0.04756503285219272,0.0475283461312453
39,0.047563880278418465,0.047531477113564806
40,0.047568935963014765,0.04753251348932584
41,0.04756499941771229,0.047543832163016005
42,0.04756294572725892,0.04753926694393158
43,0.0475644257850945,0.04753995935122172
44,0.0475618707947433,0.047533372541268666
45,0.04756237432981531,0.04755291516582171
46,0.0475708964591225,0.047555111348629
47,0.04756580184524258,0.04752830564975739
48,0.047567057268073164,0.04754471133152644
49,0.04756249043469628,0.0475272869070371
