fault,TP,FN,TPR
F1L,368,1,0.997289972899729
F2L,519,0,1.0
F3L,133,0,1.0
F4L,539,0,1.0
F5L,679,0,1.0
F6L,237,302,0.4397031539888683
F7L,227,312,0.42115027829313545
