epoch,train_loss
1,0.1560222442365355
2,0.06103198375138971
3,0.05866237647003598
4,0.058360225417547755
5,0.05823907752831777
6,0.058002808027797274
7,0.05807188339531422
8,0.057983413338661194
9,0.05789634005890952
10,0.05786508425242371
11,0.05779583793547419
12,0.05785410126878156
13,0.05781243969168928
14,0.05790716575251685
15,0.05783415316707558
16,0.057733385927147336
17,0.057786904689338475
18,0.057782294849554695
19,0.05773857235908508
20,0.057677050638529986
21,0.057871014500657715
22,0.05792930515276061
23,0.05782124110394054
24,0.05778718201650514
25,0.057747161429789334
26,0.05762852686974737
27,0.057421933859586716
28,0.05818652961817053
29,0.057891342168052994
30,0.057725303082002535
31,0.05763227285610305
32,0.057759200119309954
33,0.05762999359932211
34,0.05758944174481763
35,0.057704621305068336
36,0.057724891851345696
37,0.05769292058216201
38,0.05758063598639435
39,0.057297241356637746
40,0.05606459226045343
41,0.05332078432871236
42,0.05231278638044993
43,0.0518273605654637
44,0.0517566233045525
45,0.051715221256017685
46,0.05165220548709234
47,0.05163515214290884
48,0.05155412542323271
49,0.05144022715588411
50,0.0514281400375896
51,0.05135486626790629
52,0.051218006345960826
53,0.0511046207199494
54,0.05087548721995619
55,0.05066595681839519
56,0.0504269457111756
57,0.050343686093886696
58,0.051149801454610296
59,0.05166744337313705
60,0.05100199621584681
61,0.05075499560270044
62,0.050485544113649264
63,0.056948091834783554
64,0.057847314410739474
65,0.05773146512607733
66,0.0574991957594951
67,0.05642295421825515
68,0.05396453622314665
69,0.052127544250753194
70,0.05147867856754197
71,0.05112937154869238
72,0.05112432212465339
