epoch,train_loss,val_loss
1,0.06672625035668413,0.047767019768555956
2,0.04771816963329911,0.04765600437919299
3,0.04764245003461838,0.047593070566654204
4,0.04761918221289913,0.047584163149197896
5,0.04759380811204513,0.047559325397014615
6,0.04758961374560992,0.047553376853466035
7,0.04758679832642277,0.047554204861323036
8,0.04757294257481893,0.04754425510764122
9,0.04757069194068511,0.04754650592803955
10,0.047587525999794406,0.047544530530770616
11,0.04758269420514504,0.04755818098783493
12,0.04757762060811122,0.04754210089643796
13,0.04757266473025083,0.04754770373304685
14,0.04757197614138325,0.0475512832403183
15,0.047575644000122944,0.04753303751349449
16,0.047573755215853455,0.04755082055926323
17,0.04756735789900025,0.047528837621212
18,0.04757463339095314,0.04755483667055766
19,0.04757056801269452,0.04752857411901156
20,0.047562644071877005,0.04752870127558708
21,0.04756759240602453,0.04753750165303548
22,0.04757050753881534,0.04752741083502769
23,0.0475658917799592,0.04752858976523081
24,0.047566267848014834,0.0475500596066316
25,0.04757013916969299,0.047542714327573773
26,0.04756669697041313,0.04752790456016858
27,0.04756409885982672,0.047531180332104364
28,0.04756193834667404,0.04753311028083165
29,0.047566285667320095,0.04753319223721822
30,0.047572525683790445,0.04754810978968938
31,0.04756398887063066,0.04752957597374916
32,0.04756591580808163,0.04754469469189644
33,0.047575341444462536,0.047542078296343486
34,0.04756810367107391,0.04752691363294919
35,0.04756451972449819,0.04753756473461787
36,0.04756261507670085,0.04754673143227895
37,0.04756556125357747,0.04753916884462039
38,0.04756384501233697,0.04752908150355021
39,0.04757169646521409,0.0475397452712059
40,0.047562325311203794,0.04754202614227931
41,0.04756846825281779,0.04753237366676331
42,0.047565315415461856,0.04753320614496867
43,0.04756271311392387,0.04752322236696879
44,0.0475755383570989,0.04753631576895714
45,0.047567923398067556,0.047531122465928395
46,0.04756878577172756,0.04757571369409561
47,0.047566089686006306,0.04753014619151751
48,0.04767032911380132,0.04752608040968577
49,0.04756071514760454,0.04754289984703064
50,0.04756805008898179,0.04752943540612856
51,0.047571451775729655,0.04752991969386736
52,0.047563532305260496,0.04752668191989263
53,0.047566994279623034,0.047526057064533236
54,0.04756553831199805,0.04753412132461866
55,0.04756055409088731,0.0475360706448555
56,0.047566258410612745,0.04752863471706708
57,0.047561541013419625,0.047535406549771626
58,0.04756631447623173,0.04752672562996547
59,0.04756646677851677,0.047527991731961566
60,0.04756517220909397,0.04753090565403303
61,0.04756686516727011,0.04754362627863884
62,0.04756740064670642,0.047533802191416424
63,0.047563503279040256,0.047535219540198646
