epoch,train_loss
1,7328.70654296875
2,7293.35205078125
3,7292.814751519098
4,7292.579345703125
5,7292.396023220486
6,7292.285373263889
7,7292.364474826389
8,7291.8603515625
9,7292.303358289931
10,7290.205756293402
11,7288.314588758681
12,7286.513563368056
13,7286.157823350694
14,7285.118570963542
15,7284.847005208333
16,7284.724745008681
17,7284.360866970486
18,7284.681939019098
19,7284.624213324652
20,7284.356526692708
21,7284.255913628473
22,7283.56005859375
23,7282.661973741319
24,7283.795871310764
25,7284.675482855902
26,7283.145724826389
27,7281.001681857639
28,7279.176622178819
29,7279.311333550348
30,7278.46435546875
31,7277.979058159723
32,7277.311414930556
33,7276.667209201389
34,7277.869493272569
35,7277.721761067708
36,7275.881591796875
37,7275.146375868056
38,7275.344509548611
39,7274.481987847223
40,7274.560953776042
41,7274.265055338542
42,7273.809190538194
43,7274.312581380208
44,7274.168348524306
45,7273.992133246527
46,7274.0830078125
47,7274.126736111111
48,7274.169786241319
49,7273.845133463542
50,7273.855550130208
51,7273.567057291667
52,7273.747395833333
53,7273.842827690973
54,7273.665066189236
55,7273.438856336806
56,7273.786431206598
57,7273.622341579861
58,7273.808458116319
59,7273.805067274306
60,7273.511393229167
61,7274.336263020833
62,7273.986490885417
63,7273.869764539931
64,7273.845350477431
65,7273.660536024306
66,7273.765516493056
67,7273.815049913194
68,7273.561089409723
69,7273.715549045139
70,7273.583523220486
