epoch,train_loss
1,7330.006239149306
2,7297.69580078125
3,7297.193766276042
4,7296.667426215277
5,7296.300374348958
6,7296.21875
7,7296.374294704861
8,7296.562147352431
9,7296.257595486111
10,7296.481743706598
11,7296.626817491319
12,7296.289984809027
13,7296.512668185764
14,7296.522867838542
15,7295.671468098958
16,7290.393581814236
17,7286.756808810764
18,7291.211941189236
19,7291.038682725694
20,7291.330973307292
21,7291.211127387152
22,7290.865071614583
23,7291.007514105902
24,7290.668972439236
25,7290.552001953125
26,7288.59521484375
27,7282.909912109375
28,7282.927652994792
29,7282.636121961806
30,7282.981852213542
31,7282.858045789931
32,7282.306287977431
33,7282.932562934027
34,7282.968343098958
35,7282.606174045139
36,7282.398139105902
37,7282.405734592014
38,7283.043592664931
39,7282.046142578125
40,7281.336615668402
41,7280.609781901042
42,7280.058458116319
43,7279.274197048611
44,7279.010335286458
45,7278.800808376736
46,7279.182590060764
47,7278.963894314236
48,7278.970269097223
49,7279.210123697917
50,7278.743923611111
51,7278.874810112848
52,7279.436225043402
53,7278.663899739583
54,7278.892632378473
55,7279.205864800348
56,7278.866861979167
57,7278.614718967014
58,7278.864474826389
59,7278.750840928819
60,7279.076931423611
61,7278.976264105902
62,7278.861165364583
63,7279.036376953125
64,7278.98095703125
65,7279.071858723958
66,7278.942111545139
67,7278.969997829861
68,7278.794894748264
69,7278.963812934027
70,7278.793646918402
71,7278.753228081598
72,7278.742241753473
