fault,TP,FN,TPR
F1L,369,0,1.0
F2L,519,0,1.0
F3L,133,0,1.0
F4L,539,0,1.0
F5L,679,0,1.0
F6L,374,165,0.6938775510204082
F7L,533,6,0.9888682745825603
