fault,TP,FN,TPR
F1L,1239,0,1.0
F2L,1370,0,1.0
F3L,983,0,1.0
F4L,1389,0,1.0
F5L,1379,0,1.0
F6L,1389,0,1.0
F7L,1389,0,1.0
