fault,TP,FN,TPR
F1L,17,1272,0.013188518231186967
F2L,1006,414,0.7084507042253522
F3L,1033,0,1.0
F4L,686,753,0.47671994440583737
F5L,1429,0,1.0
F6L,43,1396,0.029881862404447533
F7L,1432,7,0.995135510771369
