fault,TP,FN,TPR
F1L,369,0,1.0
F2L,519,0,1.0
F3L,133,0,1.0
F4L,539,0,1.0
F5L,679,0,1.0
F6L,396,143,0.7346938775510204
F7L,221,318,0.4100185528756957
