epoch,train_loss
1,0.12926851792467964
2,0.06390808502005206
3,0.059814008987612195
4,0.059234777465462685
5,0.05896172341373232
6,0.05877640222509702
7,0.05791061847574181
8,0.058290939364168376
9,0.055914986257751785
10,0.05285509634349081
11,0.052129420969221324
12,0.05189423863258627
13,0.051841712246338524
14,0.05079796848197778
15,0.04930035811331537
16,0.048993682488799095
17,0.0487219842357768
18,0.04869432126482328
19,0.048596620766652956
20,0.048533306560582586
21,0.04842663701209757
22,0.04843678490983115
23,0.04840118810534477
24,0.048387279734015465
25,0.048321020065082446
26,0.04826623967124356
27,0.048256940932737455
28,0.04829270806577471
29,0.048271781040562525
30,0.04828229877683851
31,0.04841800116830402
32,0.04827575840883785
33,0.048233668216400676
34,0.048260733071300715
35,0.04816036961144871
36,0.04813602918552028
37,0.04810386233859592
38,0.04807396874659591
39,0.04809336426357428
40,0.048246763853563204
41,0.04809587014218172
42,0.04809873033728865
43,0.04837697413232592
44,0.048372829539908305
45,0.04816958742837111
46,0.04806998661822743
47,0.04807863632837931
48,0.04806456673476431
49,0.04810939377380742
50,0.04803673860927423
51,0.04803001176979807
52,0.048106235141555466
53,0.048096531381209694
54,0.048008105614119105
55,0.04797461194296678
56,0.04796299027899901
57,0.04796160322924455
58,0.048772318495644465
59,0.04833332387109598
60,0.04812902915808889
61,0.04807690510319339
62,0.048134072580271296
63,0.04808627482917574
64,0.04798566156791316
65,0.047966915700170726
66,0.05310309905972746
67,0.05077677302890354
68,0.049027649892701045
69,0.048507089623146586
70,0.0485624283966091
71,0.04835678409371111
72,0.04826557201643785
